#zeit : 	zahl d. Durchgänge :	drehung in grad : error fehlt noch
	
		
37.38	294	2940
37.4	294	2940
37.42	294	2940
37.44	295	2950
37.46	295	2950
37.48	295	2950
37.5	295	2950
37.52	296	2960
37.54	296	2960
37.56	296	2960
37.58	297	2970
37.6	297	2970
37.62	297	2970
37.64	298	2980
37.66	298	2980
37.68	298	2980
37.7	298	2980
37.72	299	2990
37.74	299	2990
37.76	299	2990
37.78	299	2990
37.8	300	3000
37.82	300	3000
37.84	300	3000
37.86	301	3010
37.88	301	3010
37.9	301	3010
37.92	301	3010
37.94	301	3010
37.96	301	3010
37.98	302	3020
38	302	3020
38.02	302	3020
38.04	303	3030
38.06	303	3030
38.08	303	3030
38.1	303	3030
38.12	304	3040
38.14	304	3040
38.16	304	3040
38.18	304	3040
38.2	305	3050
38.22	305	3050
38.24	306	3060
38.26	306	3060
38.28	306	3060
38.3	306	3060
38.32	307	3070
38.34	307	3070
38.36	308	3080
38.38	308	3080
38.4	308	3080
38.42	309	3090
38.44	309	3090
38.46	309	3090
38.48	310	3100
38.5	310	3100
38.52	310	3100
38.54	311	3110
38.56	311	3110
38.58	312	3120
38.6	312	3120
38.62	313	3130
38.64	313	3130
38.66	313	3130
38.68	314	3140
38.7	314	3140
38.72	314	3140
38.74	315	3150
38.76	315	3150
38.78	315	3150
38.8	316	3160
38.82	316	3160
38.84	316	3160
38.86	317	3170
38.88	317	3170
38.9	317	3170
38.92	318	3180
38.94	318	3180
38.96	318	3180
38.98	319	3190
39	319	3190
39.02	319	3190
39.04	320	3200
39.06	320	3200
39.08	320	3200
39.1	320	3200
39.12	321	3210
39.14	321	3210
39.16	321	3210
39.18	322	3220
39.2	322	3220
39.22	322	3220
39241	323	3230
39.26	323	3230
39.28	323	3230
39.3	324	3240
39.32	324	3240
39.34	324	3240
39.36	325	3250
39.38	325	3250
39.4	325	3250
39.42	326	3260
39.44	326	3260
39.46	326	3260
39.48	327	3270
39.5	327	3270
39.52	328	3280
39.54	328	3280
39.56	328	3280
39.58	329	3290
39.6	329	3290
39.62	330	3300
39.64	330	3300
39.66	330	3300
39.68	331	3310
39.7	331	3310
39.72	331	3310
39.74	332	3320
39.76	332	3320
39.78	332	3320
39.8	333	3330
39.82	333	3330
39.84	333	3330
39.86	334	3340
39.88	334	3340
39.9	334	3340
39.92	335	3350
39.94	335	3350
39.96	335	3350
39.98	336	3360
40	336	3360
40.02	337	3370
40045	337	3370
40064	337	3370
40.08	337	3370
40.1	338	3380
40.12	338	3380
40.14	338	3380
40.16	338	3380
40.18	339	3390
40.2	339	3390
40.22	339	3390
40.24	340	3400
40.26	340	3400
40.28	340	3400
40.3	341	3410
40.32	341	3410
40.34	341	3410
40.36	342	3420
40.38	342	3420
40.4	342	3420
40.42	342	3420
40.44	343	3430
40.46	343	3430
40.48	343	3430
40.5	344	3440
40.52	344	3440
40.54	345	3450
40.56	345	3450
40.58	345	3450
40.6	346	3460
40.62	346	3460
40.64	346	3460
40.66	347	3470
40.68	347	3470
40.7	347	3470
40.72	348	3480
40.74	348	3480
40.77	349	3490
40783	349	3490
40.8	349	3490
40.82	350	3500
40.84	350	3500
40.86	351	3510
40.88	351	3510
40.9	351	3510
40.92	352	3520
40.94	352	3520
40.96	352	3520
40.98	353	3530
41	353	3530
41.02	353	3530
41.04	354	3540
41.06	354	3540
41.08	354	3540
41.1	354	3540
41.12	355	3550
41.14	355	3550
41.16	355	3550
41.18	356	3560
41.2	356	3560
41.22	356	3560
41.24	357	3570
41.26	357	3570
41.28	357	3570
